file_id,network,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,missing_rate,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
121,C7,PLPI,HHN,FFT,2021-09-16 00:00:00.00,2021-09-17 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:42.00
122,C7,PLPI,HHE,FFT,2021-09-16 00:00:00.00,2021-09-17 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:50.00
123,C7,PLPI,HHZ,FFT,2021-09-16 00:00:00.00,2021-09-17 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:58.00
124,C7,PPMA,HHN,FFT,2021-09-16 00:00:00.00,2021-09-17 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:06.00
125,C7,PPMA,HHE,FFT,2021-09-16 00:00:00.00,2021-09-17 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:15.00
126,C7,PPMA,HHZ,FFT,2021-09-16 00:00:00.00,2021-09-17 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:23.00
127,C7,PLPI,HHN,FFT,2021-09-17 00:00:00.00,2021-09-18 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:31.00
128,C7,PLPI,HHE,FFT,2021-09-17 00:00:00.00,2021-09-18 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:39.00
129,C7,PLPI,HHZ,FFT,2021-09-17 00:00:00.00,2021-09-18 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:47.00
130,C7,PPMA,HHN,FFT,2021-09-17 00:00:00.00,2021-09-18 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:56.00
131,C7,PPMA,HHE,FFT,2021-09-17 00:00:00.00,2021-09-18 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:04.00
132,C7,PPMA,HHZ,FFT,2021-09-17 00:00:00.00,2021-09-18 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:12.00
133,C7,PLPI,HHN,FFT,2021-09-18 00:00:00.00,2021-09-19 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:20.00
134,C7,PLPI,HHE,FFT,2021-09-18 00:00:00.00,2021-09-19 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:29.00
135,C7,PLPI,HHZ,FFT,2021-09-18 00:00:00.00,2021-09-19 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:37.00
